housing_type;district;rooms;is_studio;total_area;living_area;kitchen_area;floor;num_floors;bathrooms_type;num_loggia;num_balcony;kitchen_and_living;condition;ceiling_height;nearest_metro_st;minutes_to_metro;num_freight_lift;num_passenger_lift;parking_type;building_type;furniture;price;deal_type;house_completion_year;first_floor_is_com;playground
Вторичка;Канавинский ;3;Нет;70,61738266;45,9161148;19,26945631;8,224956594;28,3061397;Совмещенный;0;0;Нет;Евро;2.5 ;Ленинская;13;1,930341898;0,965435253;Открытая;Панельный;Да;13 700 196;Свободная продажа;1975,658133;Нет;Да
Новостройка;Приокский;1;Нет;50,43217867;36,90258955;4,894499167;1,041945026;3,939827351;Совмещенный;0;0;Да;Предчистовая;2.7 ;Нет;;1,025217072;0,996849474;Открытая;Монолитный;Нет;6 094 772;Долевое участие (214-ФЗ);2088,297381;Да;Да
Новостройка;Советский;2;Нет;59,59688175;27,76169981;14,86799494;4,198072589;18,87689501;Раздельный;0;0;Да;Без отделки;2.7 ;Горьковская;27;1,025190145;0,951914803;Подземная;Монолитный;Нет;10 579 307;Долевое участие (214-ФЗ);2028,811717;Да;Да
Вторичка;Советский;1;Нет;28,54620498;17,91432279;5,41494415;5,180213815;5,105181287;Совмещенный;0;0;Нет;Косметический;2.5 ;Нет;;0;0;Открытая;Кирпичный;Да;4 795 103;Альтернативная;2057,774984;Нет;Да
Вторичка;Сормовский;2;Нет;41,22945619;22,00224675;8,679784949;0,997762618;9,133360597;Совмещенный;1;0;Нет;Косметический;2.5 ;Нет;;0;1,030104026;Открытая;Кирпичный;Да;6 117 030;Альтернативная;2016,675987;Нет;Да
Новостройка;Нижегородский;1;Да;34,16476326;14,28743784;9,112700901;1,962913509;12,55846679;Совмещенный;1;0;Да;Предчистовая;3 ;Нет;;0,951857274;0,995838417;Подземная, открытая;Монолитный;Нет;9 666 987;Долевое участие (214-ФЗ);2026,661399;Да;Да
Новостройка;Московский;2;Нет;53,93108108;23,49093143;19,30725891;5,880568931;24,00649403;Раздельный;0;0;Да;Без отделки;2.7 ;Буревестник;16;1,008209741;1,040891129;Открытая;Кирпичный;Нет;9 072 208;Долевое участие (214-ФЗ);2040,983328;Да;Да
Новостройка;Канавинский;2;Нет;49,34439349;29,08915781;9,266492119;17,61576841;21,87316657;Совмещенный;1;0;Да;Предчистовая;2.8 ;Нет;;0,999655149;1,003897039;Подземная;Монолитно-кирпичный;Нет;7 660 580;Долевое участие (214-ФЗ);1938,040136;Да;Да
Вторичка;Приокский;1;Нет;40,68200388;17,27121852;9,994620057;9,910881965;16,58811882;Совмещенный;0;1;Нет;Евро;2.6;Нет;;1,012440205;0,980238898;Открытая;Монолитный;Да;8 499 879;Свободная продажа;1932,920035;Нет;Нет
Вторичка;Нижегородский;2;Нет;41,1003759;20,51972663;7,26469624;3,970488209;4,074748415;Совмещенный;0;0;Нет;Косметический;3 ;Горьковская;20;0;0;Открытая;Кирпичный;Нет;9 652 349;Свободная продажа;1860,005752;Нет;Да
Вторичка;Автозаводский;2;Нет;41,25368985;28,88459766;5,401396033;2,871708497;4,955132446;Совмещенный;0;1;Нет;Косметический;2.6;Нет;;0;0;Открытая;Кирпичный;Нет;5 302 169;Свободная продажа;1874,727621;Нет;Нет
Вторичка;Нижегородский;3;Нет;56,31988409;36,05035698;8,905183859;6,150487046;8,983038012;Раздельный;0;1;Нет;Требует ремонта;2.6 ;Горьковская;17;0;1,041607489;Открытая;Кирпичный;Нет;9 338 457;Свободная продажа;1948,393948;Нет;Нет
